treatment;phage_tp;bacteria_tp;phage_tp_cat;bacteria_tp_cat;fermenter;bacteria;susceptible;resistant
Control;4;4;p_tp_4;b_tp_4;1;MG1655;12;12
Control;4;4;p_tp_4;b_tp_4;1;MG1655;6;18
Control;4;4;p_tp_4;b_tp_4;1;MG1655;6;18
Control;4;4;p_tp_4;b_tp_4;1;MG1655;6;18
Control;4;4;p_tp_4;b_tp_4;1;MG1655;6;18
Control;4;4;p_tp_4;b_tp_4;1;MG1655;6;18
Control;4;4;p_tp_4;b_tp_4;1;MG1655;6;18
Control;4;4;p_tp_4;b_tp_4;1;MG1655;6;18
Control;4;4;p_tp_4;b_tp_4;1;LF82;18;6
Control;4;4;p_tp_4;b_tp_4;1;LF82;18;6
Control;4;4;p_tp_4;b_tp_4;1;LF82;16;8
Control;4;4;p_tp_4;b_tp_4;1;LF82;16;8
Control;4;4;p_tp_4;b_tp_4;1;LF82;16;8
Control;4;4;p_tp_4;b_tp_4;1;LF82;0;24
Control;4;4;p_tp_4;b_tp_4;1;LF82;0;24
Control;4;4;p_tp_4;b_tp_4;1;LF82;0;24
Control;4;4;p_tp_4;b_tp_4;1;MEC1;14;10
Control;4;4;p_tp_4;b_tp_4;1;MEC1;0;24
Control;4;4;p_tp_4;b_tp_4;1;MEC1;0;24
Control;4;4;p_tp_4;b_tp_4;1;MEC1;0;24
Control;4;4;p_tp_4;b_tp_4;1;MEC1;0;24
Control;4;4;p_tp_4;b_tp_4;1;MEC1;0;24
Control;4;4;p_tp_4;b_tp_4;1;MEC1;0;24
Control;4;4;p_tp_4;b_tp_4;1;MEC1;0;24
Control;4;7;p_tp_4;b_tp_7;1;MG1655;6;18
Control;4;7;p_tp_4;b_tp_7;1;MG1655;6;18
Control;4;7;p_tp_4;b_tp_7;1;MG1655;7;17
Control;4;7;p_tp_4;b_tp_7;1;MG1655;0;24
Control;4;7;p_tp_4;b_tp_7;1;MG1655;0;24
Control;4;7;p_tp_4;b_tp_7;1;MG1655;0;24
Control;4;7;p_tp_4;b_tp_7;1;MG1655;0;24
Control;4;7;p_tp_4;b_tp_7;1;MG1655;0;24
Control;4;7;p_tp_4;b_tp_7;1;LF82;15;9
Control;4;7;p_tp_4;b_tp_7;1;LF82;0;24
Control;4;7;p_tp_4;b_tp_7;1;LF82;0;24
Control;4;7;p_tp_4;b_tp_7;1;LF82;16;8
Control;4;7;p_tp_4;b_tp_7;1;LF82;16;8
Control;4;7;p_tp_4;b_tp_7;1;MEC1;0;24
Control;4;7;p_tp_4;b_tp_7;1;MEC1;0;24
Control;4;7;p_tp_4;b_tp_7;1;MEC1;0;24
Control;4;7;p_tp_4;b_tp_7;1;MEC1;0;24
Control;4;7;p_tp_4;b_tp_7;1;MEC1;0;24
Control;4;7;p_tp_4;b_tp_7;1;MEC1;0;24
Control;4;7;p_tp_4;b_tp_7;1;MEC1;0;24
Control;4;7;p_tp_4;b_tp_7;1;MEC1;0;24
Control;7;4;p_tp_7;b_tp_4;1;MG1655;8;16
Control;7;4;p_tp_7;b_tp_4;1;MG1655;8;16
Control;7;4;p_tp_7;b_tp_4;1;MG1655;8;16
Control;7;4;p_tp_7;b_tp_4;1;MG1655;8;16
Control;7;4;p_tp_7;b_tp_4;1;MG1655;8;16
Control;7;4;p_tp_7;b_tp_4;1;MG1655;8;16
Control;7;4;p_tp_7;b_tp_4;1;MG1655;8;16
Control;7;4;p_tp_7;b_tp_4;1;MG1655;8;16
Control;7;4;p_tp_7;b_tp_4;1;LF82;18;6
Control;7;4;p_tp_7;b_tp_4;1;LF82;24;0
Control;7;4;p_tp_7;b_tp_4;1;LF82;22;2
Control;7;4;p_tp_7;b_tp_4;1;LF82;23;1
Control;7;4;p_tp_7;b_tp_4;1;LF82;24;0
Control;7;4;p_tp_7;b_tp_4;1;LF82;0;24
Control;7;4;p_tp_7;b_tp_4;1;LF82;0;24
Control;7;4;p_tp_7;b_tp_4;1;LF82;0;24
Control;7;4;p_tp_7;b_tp_4;1;MEC1;17;7
Control;7;4;p_tp_7;b_tp_4;1;MEC1;5;19
Control;7;4;p_tp_7;b_tp_4;1;MEC1;5;19
Control;7;4;p_tp_7;b_tp_4;1;MEC1;5;19
Control;7;4;p_tp_7;b_tp_4;1;MEC1;5;19
Control;7;4;p_tp_7;b_tp_4;1;MEC1;5;19
Control;7;4;p_tp_7;b_tp_4;1;MEC1;6;18
Control;7;4;p_tp_7;b_tp_4;1;MEC1;5;19
Control;7;7;p_tp_7;b_tp_7;1;MG1655;9;15
Control;7;7;p_tp_7;b_tp_7;1;MG1655;15;9
Control;7;7;p_tp_7;b_tp_7;1;MG1655;8;16
Control;7;7;p_tp_7;b_tp_7;1;MG1655;5;19
Control;7;7;p_tp_7;b_tp_7;1;MG1655;5;19
Control;7;7;p_tp_7;b_tp_7;1;MG1655;7;17
Control;7;7;p_tp_7;b_tp_7;1;MG1655;7;17
Control;7;7;p_tp_7;b_tp_7;1;MG1655;8;16
Control;7;7;p_tp_7;b_tp_7;1;LF82;22;2
Control;7;7;p_tp_7;b_tp_7;1;LF82;0;24
Control;7;7;p_tp_7;b_tp_7;1;LF82;2;22
Control;7;7;p_tp_7;b_tp_7;1;LF82;22;2
Control;7;7;p_tp_7;b_tp_7;1;LF82;23;1
